Claim_ID,Food_ID,Receiver_ID,Timestamp,Status
1,164,908,2025-03-05 05:26:00,Pending
2,353,391,2025-03-11 10:24:00,Cancelled
3,626,492,2025-03-21 00:59:00,Completed
4,61,933,2025-03-04 09:08:00,Cancelled
5,345,229,2025-03-14 15:17:00,Pending
6,273,607,2025-03-02 02:50:00,Cancelled
7,735,256,2025-03-07 23:58:00,Cancelled
8,382,900,2025-03-05 07:07:00,Pending
9,278,807,2025-03-18 02:26:00,Completed
10,669,975,2025-03-06 19:57:00,Completed
11,290,118,2025-03-04 23:01:00,Pending
12,694,739,2025-03-01 21:55:00,Completed
13,951,959,2025-03-08 13:08:00,Pending
14,426,233,2025-03-08 16:08:00,Cancelled
15,684,97,2025-03-07 08:00:00,Completed
16,320,836,2025-03-07 06:17:00,Cancelled
17,465,588,2025-03-15 16:49:00,Cancelled
18,952,729,2025-03-09 02:04:00,Completed
19,798,399,2025-03-16 06:32:00,Pending
20,792,88,2025-03-07 12:15:00,Completed
21,281,493,2025-03-04 00:29:00,Completed
22,345,757,2025-03-09 03:11:00,Pending
23,674,526,2025-03-06 22:55:00,Completed
24,594,717,2025-03-15 00:51:00,Pending
25,371,10,2025-03-10 07:10:00,Completed
26,959,233,2025-03-21 04:34:00,Cancelled
27,58,487,2025-03-17 05:07:00,Completed
28,586,189,2025-03-19 04:15:00,Pending
29,812,769,2025-03-14 17:09:00,Pending
30,193,228,2025-03-07 04:05:00,Pending
31,937,546,2025-03-03 02:06:00,Completed
32,624,371,2025-03-17 12:57:00,Cancelled
33,905,386,2025-03-16 14:26:00,Cancelled
34,713,271,2025-03-18 01:17:00,Pending
35,190,93,2025-03-09 21:40:00,Cancelled
36,597,562,2025-03-16 03:41:00,Pending
37,832,920,2025-03-13 03:50:00,Cancelled
38,757,380,2025-03-18 05:29:00,Cancelled
39,58,923,2025-03-12 09:57:00,Pending
40,141,789,2025-03-10 04:14:00,Pending
41,415,336,2025-03-18 04:33:00,Pending
42,886,256,2025-03-07 12:22:00,Pending
43,611,306,2025-03-16 17:08:00,Pending
44,825,31,2025-03-09 13:02:00,Pending
45,457,569,2025-03-13 07:07:00,Completed
46,556,412,2025-03-12 02:30:00,Cancelled
47,746,48,2025-03-07 10:45:00,Pending
48,895,373,2025-03-09 23:13:00,Pending
49,190,678,2025-03-20 13:44:00,Pending
50,251,804,2025-03-19 13:18:00,Pending
51,543,255,2025-03-04 10:59:00,Pending
52,507,517,2025-03-15 14:58:00,Cancelled
53,37,449,2025-03-11 09:43:00,Completed
54,534,737,2025-03-06 01:44:00,Cancelled
55,438,601,2025-03-09 00:13:00,Completed
56,690,452,2025-03-17 14:29:00,Completed
57,225,295,2025-03-11 21:44:00,Completed
58,258,149,2025-03-13 15:12:00,Completed
59,797,371,2025-03-02 23:28:00,Cancelled
60,390,391,2025-03-16 15:03:00,Pending
61,990,550,2025-03-08 21:06:00,Cancelled
62,258,678,2025-03-17 14:07:00,Pending
63,119,279,2025-03-08 21:30:00,Pending
64,771,90,2025-03-17 13:38:00,Completed
65,424,532,2025-03-15 15:00:00,Cancelled
66,310,730,2025-03-11 19:22:00,Cancelled
67,486,817,2025-03-17 17:22:00,Completed
68,526,321,2025-03-02 04:49:00,Pending
69,321,45,2025-03-10 06:15:00,Completed
70,203,479,2025-03-19 15:41:00,Completed
71,538,897,2025-03-02 15:34:00,Cancelled
72,851,44,2025-03-04 10:49:00,Completed
73,708,222,2025-03-05 23:42:00,Pending
74,487,62,2025-03-02 13:20:00,Cancelled
75,909,161,2025-03-06 11:44:00,Cancelled
76,877,185,2025-03-13 22:38:00,Completed
77,65,324,2025-03-04 22:57:00,Completed
78,504,151,2025-03-15 13:41:00,Completed
79,188,795,2025-03-03 01:13:00,Cancelled
80,153,35,2025-03-21 01:58:00,Pending
81,964,876,2025-03-03 09:13:00,Completed
82,641,638,2025-03-09 13:21:00,Pending
83,805,695,2025-03-18 19:37:00,Completed
84,925,554,2025-03-09 02:10:00,Pending
85,197,624,2025-03-01 09:52:00,Completed
86,790,425,2025-03-02 09:25:00,Cancelled
87,829,918,2025-03-13 10:50:00,Completed
88,233,310,2025-03-03 02:47:00,Completed
89,912,632,2025-03-05 20:34:00,Cancelled
90,378,27,2025-03-04 16:53:00,Completed
91,251,373,2025-03-18 18:10:00,Completed
92,136,65,2025-03-07 11:12:00,Pending
93,600,129,2025-03-16 11:30:00,Pending
94,505,523,2025-03-19 05:04:00,Cancelled
95,673,352,2025-03-11 10:52:00,Cancelled
96,937,500,2025-03-17 07:56:00,Completed
97,381,802,2025-03-02 02:12:00,Pending
98,741,116,2025-03-13 13:30:00,Cancelled
99,101,995,2025-03-01 02:21:00,Completed
100,101,892,2025-03-19 19:11:00,Pending
101,16,654,2025-03-07 02:19:00,Cancelled
102,110,772,2025-03-16 06:03:00,Completed
103,463,423,2025-03-07 12:06:00,Completed
104,882,52,2025-03-05 00:36:00,Completed
105,89,619,2025-03-15 23:07:00,Completed
106,674,589,2025-03-06 03:27:00,Cancelled
107,374,467,2025-03-21 00:40:00,Completed
108,786,909,2025-03-08 09:17:00,Pending
109,696,923,2025-03-15 16:28:00,Pending
